id,symbol,aliases,input_kinds,mcp_tool,source
indicator.aroon,Aroon,,bars,native_batch_calculate,crates/roze-ta/src/indicators/aroon.rs
indicator.average_directional_index,AverageDirectionalIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/average_directional_index.rs
indicator.awesome_oscillator,AwesomeOscillator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/awesome_oscillator.rs
indicator.bollinger_bands,BollingerBands,,bars,native_batch_calculate,crates/roze-ta/src/indicators/bollinger_bands.rs
indicator.chaikin_money_flow,ChaikinMoneyFlow,,bars,native_batch_calculate,crates/roze-ta/src/indicators/chaikin_money_flow.rs
indicator.chaikin_oscillator,ChaikinOscillator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/chaikin_oscillator.rs
indicator.chande_kroll_stop,ChandeKrollStop,,bars,native_batch_calculate,crates/roze-ta/src/indicators/chande_kroll_stop.rs
indicator.chande_momentum_oscillator,ChandeMomentumOscillator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/chande_momentum_oscillator.rs
indicator.commodity_channel_index,CommodityChannelIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/commodity_channel_index.rs
indicator.coppock_curve,CoppockCurve,,bars,native_batch_calculate,crates/roze-ta/src/indicators/coppock_curve.rs
indicator.detrended_price_oscillator,DetrendedPriceOscillator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/detrended_price_oscillator.rs
indicator.donchian_channel,DonchianChannel,,bars,native_batch_calculate,crates/roze-ta/src/indicators/donchian_channel.rs
indicator.ease_of_movement,EaseOfMovement,,bars,native_batch_calculate,crates/roze-ta/src/indicators/ease_of_movement.rs
indicator.elders_force_index,EldersForceIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/elders_force_index.rs
indicator.envelopes,Envelopes,,bars,native_batch_calculate,crates/roze-ta/src/indicators/envelopes.rs
indicator.fisher_transform,FisherTransform,,bars,native_batch_calculate,crates/roze-ta/src/indicators/fisher_transform.rs
indicator.hull_moving_average,HullMovingAverage,,bars,native_batch_calculate,crates/roze-ta/src/indicators/hull_moving_average.rs
indicator.ichimoku_cloud,IchimokuCloud,,bars,native_batch_calculate,crates/roze-ta/src/indicators/ichimoku_cloud.rs
indicator.kaufman,Kaufman,indicator.kama,bars,native_batch_calculate,crates/roze-ta/src/indicators/kaufman.rs
indicator.keltner_channel,KeltnerChannel,,bars,native_batch_calculate,crates/roze-ta/src/indicators/keltner_channel.rs
indicator.klinger_volume_oscillator,KlingerVolumeOscillator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/klinger_volume_oscillator.rs
