value,direction
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
91.78705253596317,1
93.72293096883983,1
95.6357584807184,1
97.52355109042563,1
106.71367558633838,-1
104.83777239363428,-1
96.30368321728294,1
98.28684659120171,1
100.31980916449771,1
102.37180419001055,1
104.43294313217747,1
106.4931458824539,1
108.54809930359083,1
110.58170889478428,1
112.56453720628951,1
114.50640281119709,1
116.429124111205,1
118.3429490166193,1
124.35591773275388,-1
122.45732781761808,-1
120.55936272465509,-1
118.6752063111518,-1
116.82515644675856,-1
115.00984140193735,-1
113.1944170902462,-1
111.36640346538785,-1
104.57280742984871,1
106.40807094072679,1
108.2736527225509,1
110.20124848246611,1
112.19845003498644,1
114.24709465890933,1
116.31127898778,1
118.36320122808307,1
120.3777771377484,1
122.36423852750417,1
124.31813452609012,1
126.26317666965099,1
128.2272737000377,1
135.01824672769902,-1
133.03307428486588,-1
131.0694858522801,-1
129.12355153768078,-1
127.17517812822351,-1
125.23088072374934,-1
123.31880297668626,-1
121.44113268001372,-1
115.00532174404914,1
116.89522746458296,1
118.81186567878156,1
120.75348256078196,1
122.72761647902617,1
124.72579600472446,1
126.72387668871072,1
128.70268571282062,1
130.65825465411112,1
132.61419236837534,1
134.5681861336868,1
136.4941662745222,1
138.39431844668277,1
145.0587825826475,-1
143.11362889861996,-1
141.14054061442155,-1
139.16834880516282,-1
137.22383948560437,-1
135.30407743919878,-1
133.40799015938637,-1
