value,direction
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
101.5472226823765,1
101.5472226823765,1
101.5472226823765,1
103.71480953066157,-1
101.72770676078193,-1
100.59008989564869,-1
100.59008989564869,-1
100.59008989564869,-1
96.39817706910179,1
98.71596761740268,1
102.16620975206415,1
106.35447881836723,1
110.79335529155368,1
114.06207120080761,1
116.83127150023493,1
119.39438848583472,1
120.77557026109272,1
121.57876610123756,1
121.57876610123756,1
128.11321355728018,-1
126.21507713121595,-1
123.55504423016869,-1
120.92360803537558,-1
117.94957614530948,-1
114.66970339465503,-1
111.83879535415132,-1
109.22424173559783,-1
109.22424173559783,-1
104.03170925765983,1
106.3293246887435,1
109.82359582315296,1
113.55016797194803,1
117.16891818565678,1
121.18630608118443,1
125.1335529507781,1
128.5758002556168,1
130.62617183636584,1
131.99497292310176,1
131.99497292310176,1
131.99497292310176,1
137.54090403097084,-1
135.4684537713701,-1
132.46927125396974,-1
129.04339948099158,-1
126.04623119177856,-1
124.19757068100785,-1
122.3283006893438,-1
121.0626634205477,-1
120.94065716085713,-1
120.94065716085713,-1
117.43698073483512,1
119.9138908023252,1
123.26311150361752,1
127.02306273564956,1
130.58743199888332,1
134.8205753881702,1
138.9973859019478,1
141.8802335303824,1
142.76876627418082,1
142.76876627418082,1
142.76876627418082,1
148.68371590041937,-1
145.79786664978653,-1
143.28354033812815,-1
140.33570457838215,-1
137.28047648302004,-1
134.54947959043398,-1
132.76286847548832,-1
131.58711068445393,-1
131.58711068445393,-1
