setup,countdown,direction
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
1,0,0
2,0,0
3,0,0
-1,0,0
-2,0,0
-3,0,0
-4,0,0
-5,0,0
-6,0,0
-7,-1,-1
-7,-2,-1
-7,-3,-1
-7,-4,-1
-7,-5,-1
-7,-6,-1
1,-7,-1
2,-8,-1
3,-9,-1
4,-10,-1
5,-11,-1
6,-12,-1
7,1,1
7,2,1
7,3,1
-1,4,1
-2,5,1
-3,6,1
-4,7,1
-5,7,1
-6,7,1
-7,-1,-1
-7,-2,-1
-7,-3,-1
-7,-4,-1
-7,-5,-1
-7,-6,-1
1,-7,-1
2,-8,-1
3,-9,-1
4,-10,-1
5,-11,-1
6,-12,-1
7,1,1
7,2,1
7,3,1
-1,4,1
-2,5,1
-3,6,1
-4,7,1
-5,7,1
-6,7,1
-7,-1,-1
-7,-2,-1
-7,-3,-1
-7,-4,-1
-7,-5,-1
-7,-6,-1
1,-7,-1
2,-8,-1
3,-9,-1
4,-10,-1
5,-11,-1
6,-12,-1
7,1,1
7,2,1
7,3,1
